,Quarter,Tm,Detail,PIT,WAS
0,2.0,Steelers,Sid Watson 1 yard rush (Sid Watson kick),7,0
1,4.0,Steelers,Ray Mathews 48 yard pass from Ted Marchibroda (Sid Watson kick),14,0
2,4.0,Steelers,Jack Butler 10 yard pass from Ted Marchibroda (Sid Watson kick),21,0
3,4.0,Steelers,"Safety, Dorow tackled by McPeak in end zone",23,0
