,Quarter,Time,Tm,Detail,TEN,WAS
0,1.0,4:58,Redskins,Mike Sellers 5 yard pass from Brad Johnson (Kris Heppner kick),0,7
1,2.0,13:07,Titans,Al Del Greco 46 yard field goal,3,7
2,2.0,11:12,Titans,Derrick Mason 69 yard punt return (Al Del Greco kick),10,7
3,2.0,0:58,Titans,Al Del Greco 21 yard field goal,13,7
4,2.0,0:00,Titans,Samari Rolle 81 yard interception return (Al Del Greco kick),20,7
5,3.0,0:57,Redskins,Stephen Davis 1 yard rush (Kris Heppner kick),20,14
6,4.0,10:12,Titans,Frank Wycheck 18 yard pass from Steve McNair (Al Del Greco kick),27,14
7,4.0,6:42,Redskins,Larry Centers 3 yard pass from Brad Johnson (Kris Heppner kick),27,21
