,Quarter,Tm,Detail,BUF,NYJ
0,1.0,Jets,Ed Marinaro 1 yard rush (Pat Leahy kick),0,7
1,2.0,Jets,Richard Osborne 2 yard pass from Joe Namath (Pat Leahy kick),0,14
2,3.0,Bills,Gary Marangi 1 yard rush (George Jakowenko kick),7,14
3,4.0,Bills,Keith Moody 67 yard punt return (George Jakowenko kick),14,14
4,4.0,Jets,Pat Leahy 38 yard field goal,14,17
