,Quarter,Time,Tm,Detail,NOR,BAL
0,2.0,6:04,Ravens,Justin Tucker 31 yard field goal,0,3
1,2.0,1:53,Saints,Ben Watson 1 yard pass from Drew Brees (Wil Lutz kick),7,3
2,2.0,0:04,Ravens,Lamar Jackson 1 yard rush (Justin Tucker kick),7,10
3,3.0,3:30,Ravens,Mark Andrews 8 yard pass from Joe Flacco (Justin Tucker kick),7,17
4,4.0,12:32,Saints,Alvin Kamara 2 yard rush (Wil Lutz kick),14,17
5,4.0,4:58,Saints,Michael Thomas 5 yard pass from Drew Brees (Wil Lutz kick),21,17
6,4.0,2:07,Saints,Wil Lutz 39 yard field goal,24,17
7,4.0,0:24,Ravens,John Brown 14 yard pass from Joe Flacco (Justin Tucker kick failed),24,23
