,Quarter,Time,Tm,Detail,GNB,DAL
0,1.0,,Packers,Sterling Sharpe 1 yard pass from Brett Favre (Chris Jacke kick),7,0
1,2.0,,Packers,Chris Jacke 28 yard field goal,10,0
2,2.0,,Cowboys,Chris Boniol 41 yard field goal,10,3
3,2.0,,Packers,Sterling Sharpe 36 yard pass from Brett Favre (Chris Jacke kick),17,3
4,2.0,,Cowboys,Chris Boniol 37 yard field goal,17,6
5,3.0,,Cowboys,Emmitt Smith 5 yard rush (Chris Boniol kick),17,13
6,3.0,,Packers,Sterling Sharpe 30 yard pass from Brett Favre (Chris Jacke kick),24,13
7,3.0,,Cowboys,Alvin Harper 45 yard pass from Jason Garrett (run failed),24,19
8,3.0,,Cowboys,Daryl Johnston 3 yard rush (run failed),24,25
9,4.0,3:07,Cowboys,Emmitt Smith 18 yard rush (Chris Boniol kick),24,32
10,4.0,3:07,Cowboys,Michael Irvin 35 yard pass from Jason Garrett (Chris Boniol kick),24,39
11,4.0,3:07,Packers,Sterling Sharpe 5 yard pass from Brett Favre (Chris Jacke kick),31,39
12,4.0,3:07,Cowboys,Chris Boniol 35 yard field goal,31,42
