,Quarter,Tm,Detail,DET,NOR
0,1.0,Saints,Eric Martin 6 yard pass from Steve Walsh (Morten Andersen kick),0,7
1,2.0,Lions,Robert Clark 5 yard pass from Rodney Peete (Rich Karlis kick),7,7
2,2.0,Saints,Morten Andersen 47 yard field goal,7,10
3,3.0,Lions,Rich Karlis 25 yard field goal,10,10
4,3.0,Lions,Jimmy Williams 53 yard defensive fumble return (Rich Karlis kick),17,10
5,4.0,Lions,Rich Karlis 39 yard field goal,20,10
6,4.0,Lions,Barry Sanders 2 yard rush (Rich Karlis kick),27,10
