,Quarter,Time,Tm,Detail,MIN,TAM
0,1.0,1:35,Buccaneers,Mike Alstott 3 yard rush (Martin Gramatica kick),0,7
1,2.0,9:00,Buccaneers,Mike Alstott 6 yard rush (Martin Gramatica kick),0,14
2,2.0,3:34,Buccaneers,Aaron Stecker 35 yard pass from Brad Johnson (Martin Gramatica kick),0,21
3,2.0,0:13,Buccaneers,Dave Moore 5 yard pass from Brad Johnson (Martin Gramatica kick),0,28
4,3.0,12:18,Buccaneers,Martin Gramatica 44 yard field goal,0,31
5,3.0,10:05,Buccaneers,Martin Gramatica 48 yard field goal,0,34
6,3.0,6:28,Vikings,Travis Prentice 1 yard rush (Daunte Culpepper run),8,34
7,3.0,2:18,Buccaneers,Mike Alstott 10 yard rush (Martin Gramatica kick),8,41
8,4.0,5:58,Vikings,Randy Moss 25 yard pass from Daunte Culpepper (pass failed),14,41
