,Quarter,Time,Tm,Detail,TEN,HOU
0,1.0,9:05,Titans,Ryan Succop 35 yard field goal,3,0
1,2.0,14:04,Texans,DeAndre Hopkins 21 yard pass from Brian Hoyer (Nick Novak kick),3,7
2,2.0,11:34,Texans,Nick Novak 38 yard field goal,3,10
3,3.0,5:54,Titans,Ryan Succop 44 yard field goal,6,10
4,3.0,3:38,Texans,Nate Washington 42 yard pass from Brian Hoyer (Nick Novak kick),6,17
5,4.0,12:33,Texans,Nick Novak 24 yard field goal,6,20
