,Quarter,Time,Tm,Detail,CHI,CIN
0,1,4:29,Bears,Paul Edinger 48 yard field goal,3,0
1,2,12:51,Bears,Fred Baxter 1 yard pass from Jim Miller (Paul Edinger kick),10,0
2,3,3:25,Bears,Marty Booker 13 yard pass from Jim Miller (Paul Edinger kick),17,0
3,4,9:05,Bears,Anthony Thomas 23 yard rush (Paul Edinger kick),24,0
