,Quarter,Tm,Detail,BUF,NWE
0,2.0,Patriots,Tony Collins 4 yard rush (Fred Steinfort kick),0,7
1,2.0,Patriots,Clarence Weathers 40 yard pass from Steve Grogan (Fred Steinfort kick),0,14
2,3.0,Patriots,Clarence Weathers 58 yard pass from Steve Grogan (Fred Steinfort kick),0,21
3,4.0,Bills,Mark Brammer 1 yard pass from Joe Ferguson (Joe Danelo kick),7,21
