,Quarter,Tm,Detail,SDG,CLE
0,1.0,Browns,Don Cockroft 11 yard field goal,0,3
1,2.0,Chargers,Lance Alworth 44 yard pass from John Hadl (Mike Mercer kick),7,3
2,2.0,Chargers,Chuck Detwiler 20 yard special teams fumble return (Mike Mercer kick),14,3
3,2.0,Browns,Bo Scott 9 yard pass from Bill Nelsen (Don Cockroft kick),14,10
4,3.0,Chargers,Brad Hubbert 1 yard rush (Mike Mercer kick),21,10
5,4.0,Chargers,Mike Mercer 37 yard field goal,24,10
6,4.0,Chargers,Mike Mercer 12 yard field goal,27,10
