,Quarter,Tm,Detail,HOU,SDG
0,1.0,Oilers,Tony Zendejas 24 yard field goal,3,0
1,1.0,Chargers,Anthony Miller 63 yard pass from Jim McMahon (Chris Bahr kick),3,7
2,2.0,Chargers,Marion Butts 1 yard rush (Chris Bahr kick),3,14
3,2.0,Oilers,Ernest Givins 14 yard pass from Warren Moon (Tony Zendejas kick),10,14
4,2.0,Oilers,Warren Moon 1 yard rush (Tony Zendejas kick),17,14
5,2.0,Oilers,Tony Zendejas 32 yard field goal,20,14
6,3.0,Oilers,Drew Hill 5 yard pass from Warren Moon (Tony Zendejas kick),27,14
7,3.0,Oilers,Alonzo Highsmith 16 yard rush (Tony Zendejas kick),34,14
8,4.0,Chargers,Marion Butts 1 yard rush (pass failed),34,20
9,4.0,Chargers,Anthony Miller 10 yard pass from Jim McMahon (Chris Bahr kick),34,27
