,Quarter,Tm,Detail,PIT,NYJ
0,1.0,Steelers,Tim Worley 35 yard rush (Gary Anderson kick),7,0
1,4.0,Steelers,Gary Anderson 42 yard field goal,10,0
2,4.0,Steelers,Gary Anderson 45 yard field goal,13,0
