,Quarter,Time,Tm,Detail,WAS,NWE
0,1.0,,Patriots,Adam Vinatieri 24 yard field goal,0,3
1,1.0,,Redskins,Scott Blanton 21 yard field goal,3,3
2,1.0,,Patriots,Adam Vinatieri 35 yard field goal,3,6
3,2.0,,Redskins,Leslie Shepherd 32 yard rush (Scott Blanton kick),10,6
4,2.0,,Patriots,Curtis Martin 3 yard rush (Adam Vinatieri kick),10,13
5,2.0,,Patriots,Adam Vinatieri 29 yard field goal,10,16
6,3.0,,Redskins,Jamie Asher 13 yard pass from Gus Frerotte (Scott Blanton kick),17,16
7,3.0,,Redskins,Henry Ellard 14 yard pass from Gus Frerotte (Scott Blanton kick),24,16
8,4.0,,Patriots,Curtis Martin 2 yard rush (run failed),24,22
9,4.0,,Redskins,Scott Blanton 24 yard field goal,27,22
