,Quarter,Time,Tm,Detail,PHI,DAL
0,1.0,10:17,Cowboys,Tavon Austin 20 yard rush (Brett Maher kick),0,7
1,1.0,9:00,Cowboys,Ezekiel Elliott 1 yard rush (Brett Maher kick),0,14
2,1.0,4:44,Eagles,Dallas Goedert 28 yard pass from Carson Wentz (Jake Elliott kick),7,14
3,2.0,6:45,Cowboys,Blake Jarwin 1 yard pass from Dak Prescott (Brett Maher kick),7,21
4,2.0,1:34,Cowboys,Brett Maher 26 yard field goal,7,24
5,2.0,0:04,Cowboys,Brett Maher 63 yard field goal,7,27
6,3.0,5:02,Eagles,Jake Elliott 38 yard field goal,10,27
7,4.0,12:40,Cowboys,Brett Maher 29 yard field goal,10,30
8,4.0,9:40,Cowboys,Dak Prescott 8 yard rush (Brett Maher kick),10,37
