,Quarter,Time,Tm,Detail,MIA,BUF
0,1.0,10:38,Dolphins,Lamar Smith 6 yard pass from Jay Fiedler (Olindo Mare kick),7,0
1,2.0,6:15,Dolphins,Oronde Gadsden 6 yard pass from Jay Fiedler (Olindo Mare kick),14,0
2,2.0,3:05,Dolphins,Olindo Mare 32 yard field goal,17,0
3,2.0,0:50,Dolphins,Leslie Shepherd 14 yard pass from Jay Fiedler (Olindo Mare kick),24,0
4,3.0,9:43,Dolphins,Olindo Mare 31 yard field goal,27,0
5,3.0,2:22,Dolphins,Olindo Mare 20 yard field goal,30,0
6,4.0,14:57,Bills,Antowain Smith 1 yard rush (run failed),30,6
7,4.0,6:29,Dolphins,Olindo Mare 26 yard field goal,33,6
