,Quarter,Time,Tm,Detail,BAL,CLE
0,1.0,6:57,Ravens,Matt Stover 45 yard field goal,3,0
1,2.0,11:25,Ravens,Matt Stover 30 yard field goal,6,0
2,2.0,9:12,Ravens,Matt Stover 44 yard field goal,9,0
3,3.0,4:56,Ravens,Matt Stover 22 yard field goal,12,0
