,Quarter,Tm,Detail,NOR,WAS
0,2.0,Saints,Danny Abramowicz 80 yard pass from Billy Kilmer (Charlie Durkee kick),7,0
1,3.0,Redskins,Charley Taylor 6 yard pass from Sonny Jurgensen (Bruce Alford kick),7,7
2,3.0,Saints,"Safety, Anderson tackled Love in end zone",9,7
3,3.0,Saints,Randy Schultz 1 yard rush (Charlie Durkee kick),16,7
4,4.0,Saints,Danny Abramowicz 13 yard pass from Billy Kilmer (Charlie Durkee kick),23,7
5,4.0,Redskins,A.D. Whitfield 23 yard pass from Sonny Jurgensen (Bruce Alford kick),23,14
6,4.0,Saints,Don McCall 49 yard rush (Charlie Durkee kick),30,14
