,Quarter,Time,Tm,Detail,PIT,BAL
0,1.0,,Ravens,Jonathan Ogden 1 yard pass from Vinny Testaverde (Matt Stover kick),0,7
1,1.0,,Steelers,Andre Hastings 30 yard pass from Mike Tomczak (Norm Johnson kick),7,7
2,2.0,,Steelers,Norm Johnson 22 yard field goal,10,7
3,2.0,,Ravens,Derrick Alexander 24 yard pass from Vinny Testaverde (Matt Stover kick),10,14
4,2.0,,Ravens,Earnest Byner 7 yard rush (Matt Stover kick),10,21
5,2.0,,Ravens,Matt Stover 40 yard field goal,10,24
6,3.0,,Steelers,Andre Hastings 5 yard pass from Mike Tomczak (Norm Johnson kick),17,24
7,4.0,,Ravens,Eric Green 3 yard pass from Vinny Testaverde (Matt Stover kick),17,31
