,Quarter,Tm,Detail,PHI,STL
0,2.0,Cardinals,Joe Childress 78 yard pass from Charley Johnson (Jim Bakken kick),0,7
1,2.0,Eagles,Timmy Brown 1 yard rush (Mike Clark kick),7,7
2,2.0,Cardinals,Sonny Randle 58 yard pass from Charley Johnson (Jim Bakken kick),7,14
3,2.0,Cardinals,Jim Bakken 23 yard field goal,7,17
4,3.0,Cardinals,Bobby Joe Conrad 43 yard pass from Charley Johnson (Jim Bakken kick),7,24
5,3.0,Eagles,Timmy Brown 5 yard rush (Mike Clark kick),14,24
6,3.0,Cardinals,Larry Wilson 42 yard defensive fumble return (Jim Bakken kick),14,31
7,4.0,Cardinals,Bobby Joe Conrad 17 yard pass from Charley Johnson (Jim Bakken kick),14,38
