,Quarter,Tm,Detail,DEN,SEA
0,1.0,Seahawks,John Williams 14 yard pass from Dave Krieg (Norm Johnson kick),0,7
1,2.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),0,14
2,2.0,Broncos,Mark Jackson 15 yard pass from John Elway (Rich Karlis kick),7,14
3,2.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),7,21
4,2.0,Seahawks,John Spagnola 7 yard pass from Dave Krieg (Norm Johnson kick),7,28
5,3.0,Seahawks,Curt Warner 13 yard rush (Norm Johnson kick),7,35
6,3.0,Seahawks,Curt Warner 12 yard rush (Norm Johnson kick),7,42
7,4.0,Broncos,Steve Sewell 3 yard rush (Rich Karlis kick),14,42
