,Quarter,Time,Tm,Detail,TAM,GNB
0,1.0,11:59,Packers,Antonio Freeman 19 yard pass from Brett Favre (Ryan Longwell kick),0,7
1,1.0,7:37,Packers,Ryan Longwell 42 yard field goal,0,10
2,2.0,14:53,Buccaneers,Warrick Dunn 16 yard pass from Trent Dilfer (Martin Gramatica kick),7,10
3,2.0,10:43,Buccaneers,Martin Gramatica 41 yard field goal,10,10
4,2.0,3:33,Buccaneers,Martin Gramatica 36 yard field goal,13,10
5,2.0,0:57,Packers,Ryan Longwell 49 yard field goal,13,13
6,3.0,6:52,Packers,Ryan Longwell 38 yard field goal,13,16
7,4.0,14:28,Buccaneers,Martin Gramatica 36 yard field goal,16,16
8,4.0,5:57,Packers,Ryan Longwell 43 yard field goal,16,19
9,4.0,1:45,Buccaneers,Mike Alstott 22 yard rush (Martin Gramatica kick),23,19
10,4.0,1:05,Packers,Antonio Freeman 21 yard pass from Brett Favre (Ryan Longwell kick),23,26
