,Quarter,Tm,Detail,NYG,WAS
0,1.0,Giants,Ali Haji-Sheikh 20 yard field goal,3,0
1,2.0,Redskins,Charlie Brown 17 yard pass from Joe Theismann (Mark Moseley kick),3,7
2,2.0,Giants,Ali Haji-Sheikh 39 yard field goal,6,7
3,2.0,Giants,Ali Haji-Sheikh 19 yard field goal,9,7
4,2.0,Giants,Ali Haji-Sheikh 45 yard field goal,12,7
5,3.0,Giants,Joe Morris 6 yard pass from Jeff Rutledge (Ali Haji-Sheikh kick),19,7
6,3.0,Redskins,Joe Theismann 3 yard rush (Mark Moseley kick),19,14
7,4.0,Redskins,Mark Moseley 46 yard field goal,19,17
8,4.0,Giants,Ali Haji-Sheikh 28 yard field goal,22,17
9,4.0,Redskins,Clint Didier 7 yard pass from Joe Theismann (Mark Moseley kick),22,24
10,4.0,Redskins,John Riggins 2 yard rush (Mark Moseley kick),22,31
