,Quarter,Time,Tm,Detail,JAX,NYG
0,1.0,0:45,Giants,Tiki Barber 3 yard rush (Brad Daluiso kick),0,7
1,2.0,13:23,Jaguars,Fred Taylor 44 yard rush (Mike Hollis kick),7,7
2,3.0,13:19,Jaguars,Mike Hollis 36 yard field goal,10,7
3,4.0,11:11,Giants,Ike Hilliard 5 yard pass from Kerry Collins (Brad Daluiso kick),10,14
4,4.0,3:05,Giants,Amani Toomer 54 yard pass from Kerry Collins (Brad Daluiso kick),10,21
5,4.0,1:56,Jaguars,Kyle Brady 5 yard pass from Mark Brunell (Kyle Brady pass from Mark Brunell),18,21
6,4.0,1:51,Giants,Jason Sehorn 38 yard kickoff return (Brad Daluiso kick),18,28
7,4.0,0:19,Jaguars,Alvis Whitted 12 yard pass from Mark Brunell (Mike Hollis kick),25,28
