,Quarter,Tm,Detail,PIT,SEA
0,1.0,Seahawks,Paul Green 2 yard pass from Rick Mirer (John Kasay kick),0,7
1,2.0,Seahawks,John Kasay 32 yard field goal,0,10
2,2.0,Steelers,Gary Anderson 42 yard field goal,3,10
3,3.0,Seahawks,John Kasay 48 yard field goal,3,13
4,4.0,Steelers,Gary Anderson 43 yard field goal,6,13
5,4.0,Seahawks,John Kasay 35 yard field goal,6,16
