,Quarter,Tm,Detail,BUF,HOU
0,1.0,Oilers,Rich Caster 4 yard pass from Dan Pastorini (Toni Fritsch kick),0,7
1,1.0,Bills,Tom Dempsey 33 yard field goal,3,7
2,2.0,Bills,Keith Moody 82 yard punt return (Tom Dempsey kick),10,7
3,3.0,Oilers,Rob Carpenter 18 yard rush (Toni Fritsch kick),10,14
4,4.0,Oilers,Toni Fritsch 43 yard field goal,10,17
