,Quarter,Tm,Detail,STL,GNB
0,1.0,Cardinals,Pat Tilley 14 yard pass from Neil Lomax (Neil O'Donoghue kick),7,0
1,2.0,Packers,Jessie Clark 1 yard rush (Eddie Garcia kick),7,7
2,2.0,Packers,Paul Coffman 4 yard pass from Lynn Dickey (Eddie Garcia kick),7,14
3,3.0,Packers,Lynn Dickey 1 yard rush (Eddie Garcia kick),7,21
4,3.0,Cardinals,Ottis Anderson 3 yard rush,13,21
5,3.0,Packers,Eddie Garcia 38 yard field goal,13,24
6,4.0,Cardinals,Roy Green 18 yard pass from Neil Lomax (Neil O'Donoghue kick),20,24
7,4.0,Cardinals,Neil O'Donoghue 48 yard field goal,23,24
