,Quarter,Tm,Detail,KAN,SEA
0,1.0,Seahawks,John Kasay 19 yard field goal,0,3
1,1.0,Chiefs,Nick Lowery 20 yard field goal,3,3
2,2.0,Chiefs,Nick Lowery 28 yard field goal,6,3
3,2.0,Chiefs,Nick Lowery 36 yard field goal,9,3
4,3.0,Chiefs,Nick Lowery 39 yard field goal,12,3
5,4.0,Chiefs,Pete Holohan 8 yard pass from Steve DeBerg (Nick Lowery kick),19,3
6,4.0,Seahawks,John Kasay 26 yard field goal,19,6
