,Quarter,Time,Tm,Detail,SFO,CAR
0,1.0,7:27,Panthers,Isaac Byrd 3 yard pass from Steve Beuerlein (Joe Nedney kick),0,7
1,2.0,14:52,49ers,Terrell Owens 32 yard pass from Jeff Garcia (Wade Richey kick failed),6,7
2,2.0,8:51,Panthers,Tim Biakabutuka 2 yard pass from Steve Beuerlein (Joe Nedney kick),6,14
3,2.0,8:32,Panthers,Mike Minter 30 yard interception return (Joe Nedney kick),6,21
4,2.0,5:41,49ers,Jerry Rice 16 yard pass from Jeff Garcia (Wade Richey kick),13,21
5,2.0,1:04,Panthers,Joe Nedney 30 yard field goal,13,24
6,3.0,12:16,Panthers,Tim Biakabutuka 8 yard pass from Steve Beuerlein (Joe Nedney kick),13,31
7,3.0,5:19,49ers,Wade Richey 38 yard field goal,16,31
8,4.0,8:31,Panthers,Joe Nedney 38 yard field goal,16,34
