,Quarter,Tm,Detail,RAM,CHI
0,1.0,Rams,Wendell Tyler 2 yard rush (Frank Corral kick),7,0
1,2.0,Rams,Frank Corral 24 yard field goal,10,0
2,3.0,Rams,LeRoy Irvin 55 yard punt return (Frank Corral kick),17,0
3,4.0,Rams,Wendell Tyler 1 yard rush (Frank Corral kick),24,0
4,4.0,Bears,Dave Williams 14 yard pass from Mike Phipps (Hans Nielsen kick),24,7
