,Quarter,Time,Tm,Detail,NYG,KAN
0,1.0,12:44,Giants,Steve Smith 3 yard pass from Eli Manning (Lawrence Tynes kick),7,0
1,1.0,4:58,Chiefs,Ryan Succop 34 yard field goal,7,3
2,2.0,13:33,Giants,Steve Smith 25 yard pass from Eli Manning (Lawrence Tynes kick),14,3
3,2.0,0:00,Giants,Lawrence Tynes 25 yard field goal,17,3
4,3.0,10:22,Giants,Lawrence Tynes 40 yard field goal,20,3
5,4.0,13:17,Giants,Hakeem Nicks 54 yard pass from Eli Manning (Lawrence Tynes kick),27,3
6,4.0,9:26,Chiefs,Sean Ryan 1 yard pass from Matt Cassel (run failed),27,9
7,4.0,4:54,Chiefs,Bobby Wade 2 yard pass from Matt Cassel (Ryan Succop kick),27,16
