,Quarter,Tm,Detail,NYG,WAS
0,1.0,Redskins,Riley Smith 19 yard field goal,0,3
1,2.0,Giants,Tillie Manton 13 yard field goal,3,3
2,4.0,Redskins,Riley Smith 18 yard field goal,3,6
3,4.0,Redskins,Riley Smith 58 yard interception return (Riley Smith kick),3,13
