,Quarter,Tm,Detail,GNB,CLE
0,2.0,Browns,Don Cockroft 40 yard field goal,0,3
1,2.0,Browns,Mike Pruitt 1 yard rush (Don Cockroft kick),0,10
2,3.0,Browns,Don Cockroft 42 yard field goal,0,13
3,3.0,Packers,Lynn Dickey 7 yard rush (Tom Birney kick),7,13
4,3.0,Packers,Gerry Ellis 1 yard rush (Tom Birney kick),14,13
5,4.0,Packers,James Lofton 26 yard pass from Lynn Dickey (Tom Birney kick),21,13
6,4.0,Browns,Ozzie Newsome 19 yard pass from Brian Sipe (Don Cockroft kick),21,20
7,4.0,Browns,Dave Logan 46 yard pass from Brian Sipe,21,26
