,Quarter,Tm,Detail,PIT,PHI
0,1.0,Eagles,Steve Van Buren 2 yard rush (Cliff Patton kick),0,7
1,4.0,Eagles,Joe Muha 28 yard rush (Cliff Patton kick),0,14
2,4.0,Eagles,Bill Mackrides 1 yard rush (Cliff Patton kick),0,21
