,Quarter,Tm,Detail,SFO,PIT
0,1.0,49ers,Mike Cofer 37 yard field goal,3,0
1,1.0,49ers,Jerry Rice 5 yard pass from Steve Young (Mike Cofer kick),10,0
2,2.0,49ers,Jerry Rice 6 yard pass from Steve Young (Mike Cofer kick),17,0
3,2.0,Steelers,Gary Anderson 29 yard field goal,17,3
4,3.0,Steelers,Barry Foster 5 yard rush (Gary Anderson kick),17,10
5,3.0,Steelers,Gary Anderson 39 yard field goal,17,13
6,4.0,49ers,Brent Jones 5 yard pass from Steve Young (Mike Cofer kick),24,13
