,Quarter,Tm,Detail,PIT,BOS
0,1.0,Redskins,Cliff Battles 5 yard rush (Jim Musick kick),0,7
1,2.0,Pirates,Paul Moss 30 yard pass from Tony Holm,6,7
2,2.0,Pirates,Tiny Engebretsen 21 yard field goal,9,7
3,3.0,Pirates,Ed Westfall 60 yard pass from Tony Holm (Angelo Brovelli kick),16,7
4,4.0,Redskins,Rabbit Weller unknown yard rush (Jim Musick kick),16,14
