,Quarter,Tm,Detail,WAS,STL
0,1.0,Cardinals,Jim Bakken 20 yard field goal,0,3
1,1.0,Redskins,Tony Green 99 yard kickoff return (Mark Moseley kick),7,3
2,2.0,Redskins,Jean Fugett 14 yard pass from Joe Theismann (Mark Moseley kick),14,3
3,2.0,Redskins,Mike Thomas 9 yard rush (Mark Moseley kick),21,3
4,3.0,Redskins,Clarence Harmon 9 yard pass from Joe Theismann (Mark Moseley kick),28,3
5,4.0,Cardinals,Mel Gray 27 yard rush (Jim Bakken kick),28,10
