,Quarter,Tm,Detail,DUL,NYG
0,1,Giants,Mule Wilson 3 yard rush (Jack McBride kick),0,7
1,2,Giants,Doug Wycoff 10 yard rush (Jack McBride kick),0,14
2,4,Giants,Hinkey Haines 29 yard pass from Jack McBride (Jack McBride kick),0,21
