,Quarter,Tm,Detail,BUF,NYJ
0,1.0,Bills,Stan David 36 yard blocked punt return (Chuck Nelson kick),7,0
1,1.0,Jets,Cedric Minter 6 yard rush (Pat Leahy kick),7,7
2,2.0,Bills,Greg Bell 3 yard rush (Chuck Nelson kick),14,7
3,2.0,Bills,Chuck Nelson 47 yard field goal,17,7
4,3.0,Jets,Wesley Walker 39 yard pass from Ken O'Brien (Pat Leahy kick),17,14
5,4.0,Jets,Tony Paige 3 yard rush (Pat Leahy kick),17,21
