,Quarter,Tm,Detail,CHI,KAN
0,1,Bears,Rickey Watts 12 yard pass from Vince Evans (John Roveto kick),7,0
1,1,Chiefs,Nick Lowery 34 yard field goal,7,3
2,2,Bears,John Roveto 24 yard field goal,10,3
3,2,Chiefs,Nick Lowery 33 yard field goal,10,6
4,4,Bears,John Roveto 23 yard field goal,13,6
5,4,Chiefs,Henry Marshall 18 yard pass from Steve Fuller (Nick Lowery kick),13,13
6,OT,Bears,John Roveto 22 yard field goal,16,13
