,Quarter,Tm,Detail,PHI,DAL
0,1.0,Eagles,Roger Ruzek 32 yard field goal,3,0
1,1.0,Cowboys,Derek Tennell 1 yard pass from Troy Aikman (Lin Elliott kick),3,7
2,2.0,Cowboys,Jay Novacek 6 yard pass from Troy Aikman (Lin Elliott kick),3,14
3,2.0,Cowboys,Lin Elliott 20 yard field goal,3,17
4,3.0,Cowboys,Emmitt Smith 23 yard rush (Lin Elliott kick),3,24
5,3.0,Cowboys,Lin Elliott 43 yard field goal,3,27
6,4.0,Cowboys,Derrick Gainer 1 yard rush (Lin Elliott kick),3,34
7,4.0,Eagles,Calvin Williams 18 yard pass from Randall Cunningham (Roger Ruzek kick),10,34
