,Quarter,Tm,Detail,DET,CLE
0,1.0,Browns,Gary Collins 14 yard pass from Bill Nelsen (Don Cockroft kick),0,7
1,1.0,Lions,Larry Hand 62 yard interception return (Errol Mann kick),7,7
2,1.0,Lions,Altie Taylor 2 yard pass from Bill Munson (Errol Mann kick),14,7
3,2.0,Lions,Errol Mann 51 yard field goal,17,7
4,2.0,Browns,Fair Hooker 16 yard pass from Bill Nelsen (Don Cockroft kick),17,14
5,2.0,Lions,Larry Walton 28 yard pass from Bill Munson (Errol Mann kick),24,14
6,2.0,Lions,Mike Weger 29 yard interception return (Errol Mann kick),31,14
7,2.0,Lions,Larry Walton 34 yard pass from Bill Munson (Errol Mann kick),38,14
8,3.0,Lions,Errol Mann 34 yard field goal,41,14
9,4.0,Browns,Don Cockroft 47 yard field goal,41,17
10,4.0,Browns,Bo Scott 3 yard rush (Don Cockroft kick),41,24
