,Quarter,Time,Tm,Detail,PIT,NOR
0,1.0,9:15,Saints,John Carney 40 yard field goal,0,3
1,1.0,1:38,Saints,Jerome Pathon 15 yard pass from Aaron Brooks (John Carney kick),0,10
2,2.0,11:26,Saints,John Carney 48 yard field goal,0,13
3,2.0,5:21,Steelers,Plaxico Burress 20 yard pass from Tommy Maddox (Todd Peterson kick),7,13
4,2.0,4:47,Saints,Deuce McAllister 1 yard rush (pass failed),7,19
5,2.0,1:49,Steelers,Hines Ward 2 yard pass from Tommy Maddox (Todd Peterson kick),14,19
6,3.0,12:54,Saints,Deuce McAllister 52 yard rush (John Carney kick),14,26
7,3.0,6:00,Steelers,Jerome Bettis 6 yard rush (Todd Peterson kick),21,26
8,3.0,1:31,Saints,John Carney 31 yard field goal,21,29
9,4.0,11:21,Saints,John Carney 48 yard field goal,21,32
10,4.0,1:26,Steelers,Terance Mathis 14 yard pass from Tommy Maddox (Hines Ward pass from Tommy Maddox),29,32
