,Quarter,Tm,Detail,CHI,NYG
0,1.0,Giants,Kink Richards 8 yard field goal,0,3
1,3.0,Bears,Beattie Feathers 6 yard rush (Jack Manders kick),7,3
2,4.0,Bears,Keith Molesworth 1 yard rush,13,3
3,4.0,Bears,Bill Karr 29 yard pass from Bernie Masterson (Gene Ronzani kick),20,3
