,Quarter,Tm,Detail,WAS,GNB
0,1.0,Redskins,Howie Livingston 33 yard pass from Sammy Baugh (Bill Dudley kick),7,0
1,2.0,Packers,Ted Cook 21 yard pass from Paul Christman (Ted Fritsch kick),7,7
2,2.0,Packers,Billy Grimes 85 yard punt return (Ted Fritsch kick),7,14
3,3.0,Packers,Billy Grimes 2 yard rush (Ted Fritsch kick),7,21
4,3.0,Redskins,Rob Goode 80 yard rush (Bill Dudley kick),14,21
5,3.0,Packers,Tony Canadeo 1 yard rush (Ted Fritsch kick),14,28
6,4.0,Packers,Larry Coutre 3 yard rush (Ted Fritsch kick),14,35
7,4.0,Redskins,Howie Livingston 74 yard pass from Harry Gilmer (Bill Dudley kick),21,35
