,Quarter,Time,Tm,Detail,GNB,CHI
0,2,6:21,Packers,Greg Jennings 7 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
1,2,4:06,Bears,Robbie Gould 31 yard field goal,7,3
2,2,1:04,Packers,Ryan Grant 17 yard pass from Aaron Rodgers (Mason Crosby kick),14,3
3,3,10:59,Bears,Greg Olsen 3 yard pass from Kyle Orton (Robbie Gould kick),14,10
4,4,12:58,Packers,Mason Crosby 28 yard field goal,17,10
5,4,3:11,Bears,Matt Forte 3 yard rush (Robbie Gould kick),17,17
6,OT,11:28,Bears,Robbie Gould 38 yard field goal,17,20
