,Quarter,Tm,Detail,NYJ,MIA
0,1.0,Dolphins,Keith Jackson 57 yard pass from Dan Marino (Pete Stoyanovich kick),0,7
1,2.0,Jets,Boomer Esiason 4 yard rush (Cary Blanchard kick),7,7
2,2.0,Jets,Fred Baxter 3 yard pass from Boomer Esiason (Cary Blanchard kick),14,7
3,2.0,Dolphins,Mark Ingram 25 yard pass from Dan Marino (Pete Stoyanovich kick),14,14
4,3.0,Jets,Cary Blanchard 39 yard field goal,17,14
5,4.0,Jets,Pat Chaffey 20 yard pass from Boomer Esiason (Cary Blanchard kick),24,14
