,Quarter,Tm,Detail,MIA,NYJ
0,2.0,Jets,Rich Caster 2 yard pass from Joe Namath (Pat Leahy kick),0,7
1,3.0,Dolphins,Bob Griese 6 yard rush (Garo Yepremian kick),7,7
2,4.0,Jets,Pat Leahy 34 yard field goal,7,10
3,4.0,Dolphins,Jim Kiick 8 yard pass from Bob Griese (Garo Yepremian kick),14,10
4,4.0,Jets,Rich Caster 45 yard pass from Joe Namath (Pat Leahy kick),14,17
