,Quarter,Time,Tm,Detail,TEN,IND
0,1.0,8:08,Colts,Marvin Harrison 10 yard pass from Peyton Manning (Mike Vanderjagt kick),0,7
1,2.0,4:11,Colts,Bryan Fletcher 13 yard pass from Peyton Manning (Mike Vanderjagt kick),0,14
2,2.0,0:29,Titans,Rob Bironas 24 yard field goal,3,14
3,3.0,9:40,Colts,Reggie Wayne 27 yard pass from Peyton Manning (Mike Vanderjagt kick),3,21
4,3.0,1:28,Colts,Edgerrin James 2 yard rush (Mike Vanderjagt kick),3,28
5,4.0,11:44,Colts,Larry Tripplett 60 yard defensive fumble return (Mike Vanderjagt kick),3,35
