,Quarter,Tm,Detail,WAS,CHI
0,1.0,Redskins,Art Monk 28 yard pass from Jay Schroeder (Jess Atkinson kick),7,0
1,2.0,Bears,Willie Gault 50 yard pass from Doug Flutie (Kevin Butler kick),7,7
2,2.0,Bears,Kevin Butler 23 yard field goal,7,10
3,2.0,Bears,Kevin Butler 41 yard field goal,7,13
4,3.0,Redskins,Art Monk 23 yard pass from Jay Schroeder (Jess Atkinson kick),14,13
5,4.0,Redskins,George Rogers 1 yard rush (Jess Atkinson kick),21,13
6,4.0,Redskins,Jess Atkinson 35 yard field goal,24,13
7,4.0,Redskins,Jess Atkinson 25 yard field goal,27,13
