,Quarter,Tm,Detail,MIN,DEN
0,2.0,Broncos,Fred Steinfort 42 yard field goal,0,3
1,2.0,Vikings,Rick Danmeier 32 yard field goal,3,3
2,3.0,Broncos,Fred Steinfort 49 yard field goal,3,6
3,4.0,Broncos,Rob Lytle 5 yard rush,3,12
4,4.0,Broncos,Steve Watson 15 yard pass from Craig Morton (Fred Steinfort kick),3,19
5,4.0,Vikings,Tony Galbreath 1 yard rush (Rick Danmeier kick),10,19
6,4.0,Vikings,Tony Galbreath 1 yard rush (Rick Danmeier kick),17,19
