,Quarter,Tm,Detail,WAS,CHI
0,2.0,Redskins,Andy Farkas 1 yard rush (Bob Masterson kick),7,0
1,2.0,Bears,Harry Clarke 31 yard pass from Sid Luckman (Bob Snyder kick),7,7
2,2.0,Bears,Bronko Nagurski 3 yard rush (Bob Snyder kick),7,14
3,3.0,Bears,Dante Magnani 36 yard pass from Sid Luckman (Bob Snyder kick),7,21
4,3.0,Bears,Dante Magnani 66 yard pass from Sid Luckman,7,27
5,3.0,Redskins,Andy Farkas 17 yard pass from Sammy Baugh (Bob Masterson kick),14,27
6,4.0,Bears,Jim Benton 26 yard pass from Sid Luckman (Bob Snyder kick),14,34
7,4.0,Bears,Harry Clarke 10 yard pass from Sid Luckman (Bob Snyder kick),14,41
8,4.0,Redskins,Joe Aguirre 25 yard pass from Sammy Baugh (Joe Aguirre kick),21,41
