,Quarter,Tm,Detail,PHO,WAS
0,1.0,Cardinals,Greg Davis 42 yard field goal,3,0
1,1.0,Redskins,Ricky Sanders 13 yard pass from Mark Rypien (Chip Lohmiller kick),3,7
2,1.0,Redskins,Brad Edwards 53 yard interception return (Chip Lohmiller kick),3,14
3,2.0,Redskins,Chip Lohmiller 32 yard field goal,3,17
4,2.0,Redskins,Chip Lohmiller 18 yard field goal,3,20
5,3.0,Redskins,Earnest Byner 3 yard rush (Chip Lohmiller kick),3,27
6,4.0,Redskins,Gary Clark 31 yard pass from Mark Rypien (Chip Lohmiller kick),3,34
7,4.0,Redskins,Art Monk 10 yard pass from Cary Conklin (Chip Lohmiller kick),3,41
