,Quarter,Time,Tm,Detail,CAR,WAS
0,1.0,11:38,Panthers,Tim Biakabutuka 60 yard rush (John Kasay kick),7,0
1,1.0,9:58,Panthers,Tim Biakabutuka 1 yard rush (John Kasay kick),14,0
2,1.0,6:01,Panthers,Tim Biakabutuka 45 yard rush (John Kasay kick),21,0
3,2.0,13:26,Redskins,Stephen Davis 1 yard rush (Brett Conway kick),21,7
4,2.0,10:12,Panthers,John Kasay 43 yard field goal,24,7
5,2.0,8:30,Redskins,Michael Westbrook 17 yard pass from Brad Johnson (Brett Conway kick),24,14
6,2.0,4:33,Redskins,Michael Westbrook 11 yard pass from Brad Johnson (Brett Conway kick),24,21
7,2.0,2:33,Redskins,Albert Connell 62 yard pass from Brad Johnson (Brett Conway kick),24,28
8,3.0,10:21,Redskins,Albert Connell 32 yard pass from Brad Johnson (Brett Conway kick),24,35
9,3.0,1:00,Panthers,John Kasay 43 yard field goal,27,35
10,4.0,11:37,Panthers,John Kasay 42 yard field goal,30,35
11,4.0,7:57,Panthers,Wesley Walls 6 yard pass from Steve Beuerlein (pass failed),36,35
12,4.0,0:06,Redskins,Brett Conway 31 yard field goal,36,38
