,Quarter,Time,Tm,Detail,TAM,GNB
0,1.0,,Buccaneers,Michael Husted 23 yard field goal,3,0
1,2.0,,Packers,Antonio Freeman 31 yard pass from Brett Favre (Ryan Longwell kick),3,7
2,2.0,,Packers,Gabe Wilkins 77 yard interception return (Ryan Longwell kick),3,14
3,2.0,,Packers,Antonio Freeman 6 yard pass from Brett Favre (Ryan Longwell kick),3,21
4,3.0,,Buccaneers,Mike Alstott 1 yard rush (Michael Husted kick),10,21
5,4.0,,Buccaneers,Warrick Dunn 2 yard rush (pass failed),16,21
