,Quarter,Tm,Detail,MIA,HOU
0,1.0,Dolphins,Uwe von Schamann 42 yard field goal,3,0
1,1.0,Oilers,Ken Burrough 71 yard pass from Ken Stabler (Toni Fritsch kick),3,7
2,1.0,Dolphins,Uwe von Schamann 37 yard field goal,6,7
3,2.0,Dolphins,Uwe von Schamann 27 yard field goal,9,7
4,3.0,Oilers,Toni Fritsch 40 yard field goal,9,10
5,4.0,Dolphins,Andra Franklin 3 yard pass from Don Strock (Uwe von Schamann kick),16,10
