,Quarter,Time,Tm,Detail,SDG,SEA
0,1.0,,Seahawks,Todd Peterson 33 yard field goal,0,3
1,1.0,,Chargers,John Carney 41 yard field goal,3,3
2,2.0,,Chargers,John Carney 43 yard field goal,6,3
3,2.0,,Seahawks,Todd Peterson 44 yard field goal,6,6
4,2.0,,Seahawks,Lamar Smith 10 yard rush (Todd Peterson kick),6,13
5,2.0,,Seahawks,Darryl Williams 79 yard interception return (Todd Peterson kick),6,20
6,3.0,,Seahawks,Todd Peterson 47 yard field goal,6,23
7,4.0,,Seahawks,Todd Peterson 27 yard field goal,6,26
8,4.0,,Chargers,Charlie Jones 27 yard pass from Sean Salisbury (John Carney kick),13,26
9,4.0,,Seahawks,Chris Warren 37 yard rush (run failed),13,32
