,Quarter,Time,Tm,Detail,PHI,TAM
0,2.0,7:13,Eagles,Alex Henery 28 yard field goal,3,0
1,2.0,1:40,Eagles,Nick Foles 10 yard rush (Alex Henery kick),10,0
2,3.0,11:35,Buccaneers,Mike Williams 1 yard pass from Josh Freeman (Connor Barth kick),10,7
3,4.0,14:26,Buccaneers,Vincent Jackson 13 yard pass from Josh Freeman (Connor Barth kick),10,14
4,4.0,7:21,Buccaneers,Doug Martin 4 yard rush (Connor Barth kick),10,21
5,4.0,3:55,Eagles,Clay Harbor 11 yard pass from Nick Foles (pass failed),16,21
6,4.0,0:00,Eagles,Jeremy Maclin 1 yard pass from Nick Foles (Alex Henery kick),23,21
