,Quarter,Tm,Detail,STL,NYG
0,1.0,Cardinals,Willis Crenshaw 2 yard rush (Jim Bakken kick),7,0
1,1.0,Giants,Homer Jones 73 yard pass from Fran Tarkenton (Pete Gogolak kick),7,7
2,1.0,Cardinals,Jackie Smith 11 yard rush (Jim Bakken kick),14,7
3,2.0,Cardinals,Willis Crenshaw 66 yard rush (Jim Bakken kick),21,7
4,2.0,Giants,Ernie Koy 1 yard rush (Pete Gogolak kick),21,14
5,3.0,Giants,Joe Morrison 68 yard pass from Fran Tarkenton (Pete Gogolak kick),21,21
6,4.0,Cardinals,Willis Crenshaw 2 yard rush (Jim Bakken kick),28,21
