,Quarter,Tm,Detail,NOR,ATL
0,1.0,Falcons,Greg Davis 45 yard field goal,0,3
1,1.0,Saints,Morten Andersen 33 yard field goal,3,3
2,2.0,Falcons,John Settle 27 yard pass from Chris Miller (Greg Davis kick),3,10
3,3.0,Saints,Dalton Hilliard 22 yard rush (Morten Andersen kick),10,10
4,3.0,Saints,"Safety, Forde blocked punt out of end zone",12,10
5,3.0,Falcons,Gary Wilkins 19 yard pass from Chris Miller (Greg Davis kick),12,17
6,4.0,Saints,Buford Jordan 2 yard rush (Morten Andersen kick),19,17
7,4.0,Saints,Buford Jordan 1 yard rush (Morten Andersen kick),26,17
