,Quarter,Tm,Detail,RAM,CHI
0,1.0,Rams,Gene Howard 24 yard interception return (David Ray kick),7,0
1,2.0,Rams,David Ray 20 yard field goal,10,0
2,3.0,Bears,Mac Percival 19 yard field goal,10,3
3,3.0,Rams,David Ray 45 yard field goal,13,3
4,4.0,Bears,Earl Thomas 30 yard pass from Bobby Douglass (Mac Percival kick),13,10
5,4.0,Bears,Mac Percival 45 yard field goal,13,13
