,Quarter,Tm,Detail,WAS,PIT
0,1.0,Steelers,Elbie Nickel 25 yard pass from Paul Held (Paul Held kick),0,7
1,1.0,Steelers,Johnny Lattner 1 yard rush,0,13
2,2.0,Steelers,Fran Rogel 1 yard rush (Paul Held kick),0,20
3,2.0,Steelers,George Sulima 5 yard pass from Jim Finks (Paul Held kick),0,27
4,3.0,Steelers,Jim Brandt 9 yard rush (Paul Held kick),0,34
5,4.0,Redskins,Al Dorow 1 yard rush (Ralph Felton kick),7,34
6,4.0,Steelers,Paul Held 15 yard field goal,7,37
