,Quarter,Tm,Detail,CHI,PIT
0,1.0,Bears,Bill Karr 8 yard pass from Bronko Nagurski (Jack Manders kick),7,0
1,2.0,Bears,Carl Brumbaugh 14 yard pass from Keith Molesworth (Bronko Nagurski kick),14,0
2,3.0,Bears,Bill Karr 40 yard pass from Gene Ronzani,20,0
3,3.0,Bears,Luke Johnsos 36 yard pass from Keith Molesworth (Joe Stydahar kick),27,0
4,4.0,Pirates,Warren Heller 4 yard pass from Johnny Gildea (George Kakasic kick),27,7
5,4.0,Pirates,"Safety, Brett tackled Feathers in end zone",27,9
