,Quarter,Tm,Detail,DET,NOR
0,1.0,Saints,Tom Dempsey 29 yard field goal,0,3
1,2.0,Lions,Mel Farr 10 yard rush (Errol Mann kick),7,3
2,2.0,Saints,Tom Dempsey 27 yard field goal,7,6
3,3.0,Lions,Charlie Sanders 2 yard pass from Bill Munson (Errol Mann kick),14,6
4,3.0,Saints,Tom Dempsey 8 yard field goal,14,9
5,4.0,Saints,Tom Barrington 4 yard rush (Tom Dempsey kick),14,16
6,4.0,Lions,Errol Mann 18 yard field goal,17,16
7,4.0,Saints,Tom Dempsey 63 yard field goal,17,19
